date,city,weather,temperature,rainfall,public_holiday,festival,major_event,impact_percentage
2024-10-01,Agra,Cloudy,32.3,0.0,No,None,None,0.0
2024-10-01,Ahmedabad,Clear,29.3,0.0,No,None,None,0.0
2024-10-01,Bahadurgarh,Clear,22.3,0.0,No,None,None,0.0
2024-10-01,Bengaluru,Clear,25.8,0.0,No,None,None,0.0
2024-10-01,Bhopal,Clear,33.7,0.0,No,None,None,0.0
2024-10-01,Chennai,Clear,29.6,0.0,No,None,None,0.0
2024-10-01,Delhi,Cloudy,25.0,0.0,No,None,None,0.0
2024-10-01,Faridabad,Clear,33.1,0.0,No,None,None,0.0
2024-10-01,Ghaziabad,Clear,30.0,0.0,No,None,None,0.0
2024-10-01,Greater Noida,Cloudy,32.8,0.0,No,None,None,0.0
2024-10-01,Gurugram,Clear,30.7,0.0,No,None,None,0.0
2024-10-01,Howrah,Clear,32.1,0.0,No,None,None,0.0
2024-10-01,Hyderabad,Clear,29.9,0.0,No,None,None,0.0
2024-10-01,Indore,Clear,30.7,0.0,No,None,None,0.0
2024-10-01,Jaipur,Cloudy,35.7,0.0,No,None,Political Rally,10.8
2024-10-01,Kanpur,Haze,26.0,0.0,No,None,None,0.0
2024-10-01,Kochi,Clear,32.1,0.0,No,None,None,0.0
2024-10-01,Kolkata,Cloudy,33.9,0.0,No,None,None,0.0
2024-10-01,Lucknow,Cloudy,33.0,0.0,No,None,None,0.0
2024-10-01,Mumbai,Rain,29.9,18.6,No,None,None,-2.3
2024-10-01,Nagpur,Haze,35.4,0.0,No,None,None,0.0
2024-10-01,Noida,Cloudy,28.1,0.0,No,None,None,0.0
2024-10-01,Pune,Cloudy,27.7,0.0,No,None,Concert,10.1
2024-10-02,Agra,Rain,28.8,21.6,Yes,None,None,-18.5
2024-10-02,Ahmedabad,Clear,29.9,0.0,Yes,None,None,-20.0
2024-10-02,Bahadurgarh,Clear,34.8,0.0,Yes,None,None,-17.0
2024-10-02,Bengaluru,Clear,32.2,0.0,Yes,None,Tech Conference,-5.3
2024-10-02,Bhopal,Cloudy,29.7,0.0,Yes,None,None,-16.8
2024-10-02,Chennai,Clear,31.1,0.0,Yes,None,None,-18.7
2024-10-02,Delhi,Clear,30.9,0.0,Yes,None,None,-14.6
2024-10-02,Faridabad,Clear,31.0,0.0,Yes,None,None,-15.7
2024-10-02,Ghaziabad,Clear,29.3,0.0,Yes,None,None,-16.6
2024-10-02,Greater Noida,Cloudy,33.1,0.0,Yes,None,None,-15.1
2024-10-02,Gurugram,Clear,30.0,0.0,Yes,None,Marathon,-10.9
2024-10-02,Howrah,Cloudy,25.5,0.0,Yes,None,None,-18.0
2024-10-02,Hyderabad,Haze,29.4,0.0,Yes,None,Political Rally,-6.7
2024-10-02,Indore,Cloudy,25.1,0.0,Yes,None,None,-13.5
2024-10-02,Jaipur,Haze,29.9,0.0,Yes,None,None,-12.5
2024-10-02,Kanpur,Clear,30.2,0.0,Yes,None,None,-21.9
2024-10-02,Kochi,Clear,33.1,0.0,Yes,None,None,-19.5
2024-10-02,Kolkata,Clear,33.1,0.0,Yes,None,None,-17.9
2024-10-02,Lucknow,Clear,29.5,0.0,Yes,None,None,-15.6
2024-10-02,Mumbai,Rain,30.5,15.7,Yes,None,None,-24.9
2024-10-02,Nagpur,Cloudy,27.3,0.0,Yes,None,Marathon,-6.5
2024-10-02,Noida,Rain,31.6,20.2,Yes,None,None,-25.1
2024-10-02,Pune,Cloudy,26.0,0.0,Yes,None,None,-14.5
2024-10-03,Agra,Rain,30.4,8.8,No,Navratri Begins,None,6.2
2024-10-03,Ahmedabad,Clear,32.9,0.0,No,Navratri Begins,Political Rally,29.8
2024-10-03,Bahadurgarh,Clear,31.2,0.0,No,Navratri Begins,None,13.8
2024-10-03,Bengaluru,Haze,32.7,0.0,No,Navratri Begins,None,10.8
2024-10-03,Bhopal,Cloudy,28.0,0.0,No,Navratri Begins,None,8.8
2024-10-03,Chennai,Cloudy,33.0,0.0,No,Navratri Begins,Exam Season,13.5
2024-10-03,Delhi,Clear,29.7,0.0,No,Navratri Begins,None,9.2
2024-10-03,Faridabad,Clear,29.1,0.0,No,Navratri Begins,None,16.7
2024-10-03,Ghaziabad,Clear,31.3,0.0,No,Navratri Begins,None,16.3
2024-10-03,Greater Noida,Cloudy,30.1,0.0,No,Navratri Begins,None,17.1
2024-10-03,Gurugram,Cloudy,29.3,0.0,No,Navratri Begins,Concert,29.6
2024-10-03,Howrah,Clear,29.7,0.0,No,Navratri Begins,None,16.4
