train_id,date,time,station_id,coach_capacity,current_passengers,occupancy_percentage,crowd_level
DEL-YE-OCC00001,2024-10-01,10:53,DEL019,3040,1762,58.0,Medium
DEL-YE-OCC00001,2024-10-01,10:35,DEL005,3040,2502,82.3,High
DEL-YE-OCC00001,2024-10-01,10:46,DEL010,3040,1458,48.0,Medium
DEL-YE-OCC00001,2024-10-01,10:41,DEL025,3040,2986,98.2,High
DEL-YE-OCC00001,2024-10-01,10:16,DEL008,3040,1598,52.6,Medium
DEL-YE-OCC00001,2024-10-01,10:44,DEL013,3040,1797,59.1,Medium
DEL-YE-OCC00002,2024-10-01,18:53,DEL007,2560,1973,77.1,Medium
DEL-YE-OCC00002,2024-10-01,18:16,DEL012,2560,3103,121.2,Critical
DEL-YE-OCC00002,2024-10-01,18:06,DEL033,2560,1928,75.3,Medium
DEL-YE-OCC00002,2024-10-01,18:06,DEL009,2560,2151,84.1,High
DEL-YE-OCC00002,2024-10-01,18:00,DEL005,2560,2047,80.0,Medium
DEL-YE-OCC00003,2024-10-01,15:17,DEL027,3040,1347,44.3,Low
DEL-YE-OCC00003,2024-10-01,15:06,DEL009,3040,1852,60.9,Medium
DEL-YE-OCC00003,2024-10-01,15:36,DEL023,3040,820,27.0,Low
DEL-YE-OCC00003,2024-10-01,15:12,DEL005,3040,1057,34.8,Low
DEL-YE-OCC00003,2024-10-01,15:17,DEL024,3040,986,32.4,Low
DEL-YE-OCC00004,2024-10-05,16:15,DEL012,2560,3067,119.8,Critical
DEL-YE-OCC00004,2024-10-05,16:27,DEL016,2560,1121,43.8,Low
DEL-YE-OCC00004,2024-10-05,16:55,DEL004,2560,1238,48.4,Medium
DEL-YE-OCC00005,2024-10-05,19:34,DEL031,2560,2521,98.5,High
DEL-YE-OCC00005,2024-10-05,19:53,DEL028,2560,2366,92.4,High
DEL-YE-OCC00005,2024-10-05,19:07,DEL011,2560,2097,81.9,High
DEL-YE-OCC00005,2024-10-05,19:08,DEL029,2560,2958,115.6,Critical
DEL-YE-OCC00005,2024-10-05,19:58,DEL021,2560,2334,91.2,High
DEL-YE-OCC00006,2024-10-05,19:11,DEL028,1920,2148,111.9,Critical
DEL-YE-OCC00006,2024-10-05,19:29,DEL008,1920,713,37.1,Low
DEL-YE-OCC00006,2024-10-05,19:27,DEL037,1920,2341,122.0,Critical
DEL-YE-OCC00006,2024-10-05,19:07,DEL021,1920,2077,108.2,Critical
