schedule_id,metro_name,line_name,time_slot,current_frequency,recommended_frequency,passenger_demand,delay_probability,optimization_score
SCH00001,Delhi Metro,Yellow Line,Weekday 05:00-07:00,6,6,48.4,0.306,89.2
SCH00002,Delhi Metro,Yellow Line,Weekday 07:00-10:00,2,2,100,0.635,74.0
SCH00003,Delhi Metro,Yellow Line,Weekday 10:00-13:00,4,5,69.9,0.411,72.0
SCH00004,Delhi Metro,Yellow Line,Weekday 13:00-16:00,4,3,55.7,0.362,70.8
SCH00005,Delhi Metro,Yellow Line,Weekday 16:00-18:00,5,4,100,0.557,68.4
SCH00006,Delhi Metro,Yellow Line,Weekday 18:00-21:00,2,2,100,0.605,71.1
SCH00007,Delhi Metro,Yellow Line,Weekday 21:00-23:00,5,5,54.3,0.344,83.0
SCH00008,Delhi Metro,Yellow Line,Weekend 05:00-07:00,4,4,36.8,0.259,93.2
SCH00009,Delhi Metro,Yellow Line,Weekend 07:00-10:00,2,2,100,0.622,79.9
SCH00010,Delhi Metro,Yellow Line,Weekend 10:00-13:00,6,6,51.5,0.284,93.3
SCH00011,Delhi Metro,Yellow Line,Weekend 13:00-16:00,4,4,39.0,0.288,91.9
SCH00012,Delhi Metro,Yellow Line,Weekend 16:00-18:00,4,2,79.8,0.474,55.3
SCH00013,Delhi Metro,Yellow Line,Weekend 18:00-21:00,2,2,100,0.632,72.8
SCH00014,Delhi Metro,Yellow Line,Weekend 21:00-23:00,5,6,33.2,0.197,78.4
SCH00015,Delhi Metro,Blue Line,Weekday 05:00-07:00,4,4,49.0,0.333,84.7
SCH00016,Delhi Metro,Blue Line,Weekday 07:00-10:00,3,2,100,0.617,58.2
SCH00017,Delhi Metro,Blue Line,Weekday 10:00-13:00,5,3,75.7,0.436,60.3
SCH00018,Delhi Metro,Blue Line,Weekday 13:00-16:00,6,5,57.6,0.31,82.4
SCH00019,Delhi Metro,Blue Line,Weekday 16:00-18:00,5,3,100,0.582,56.5
SCH00020,Delhi Metro,Blue Line,Weekday 18:00-21:00,2,2,100,0.644,71.6
SCH00021,Delhi Metro,Blue Line,Weekday 21:00-23:00,6,5,50.7,0.33,71.8
SCH00022,Delhi Metro,Blue Line,Weekend 05:00-07:00,4,3,38.5,0.263,75.9
SCH00023,Delhi Metro,Blue Line,Weekend 07:00-10:00,3,2,100,0.603,54.7
SCH00024,Delhi Metro,Blue Line,Weekend 10:00-13:00,5,4,49.6,0.322,78.2
SCH00025,Delhi Metro,Blue Line,Weekend 13:00-16:00,6,7,39.9,0.223,85.5
SCH00026,Delhi Metro,Blue Line,Weekend 16:00-18:00,4,2,84.3,0.442,56.6
SCH00027,Delhi Metro,Blue Line,Weekend 18:00-21:00,2,2,100,0.633,74.2
SCH00028,Delhi Metro,Blue Line,Weekend 21:00-23:00,5,6,35.8,0.25,74.7
SCH00029,Delhi Metro,Red Line,Weekday 05:00-07:00,6,6,32.2,0.202,93.4
SCH00030,Delhi Metro,Red Line,Weekday 07:00-10:00,3,2,100,0.621,54.5
